trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
IMPERIAL-MIDTOWN-FRIDAYSATURDAY-01,24:20:00,24:20:00,IMPERIAL,1,,0,,
NEWBURGH-BEACON-WEEKDAY-01,05:40:00,05:40:00,NEWBURGH,1,,0,,
BELFORD-PAULUS-WEEKDAY-01,5:45:00,5:45:00,BELFORD,1,,0,,
BELFORD-WFC-WEEKDAY-01,5:45:00,5:45:00,BELFORD,1,,0,,
BELFORD-PIER11-WEEKDAY-01,5:45:00,5:45:00,BELFORD,1,,0,,
BEACON-NEWBURGH-WEEKDAY-01,05:49:00,05:49:00,BEACON,1,,0,,
NEWBURGH-BEACON-WEEKDAY-01,5:50:00,5:50:00,BEACON,2,,0,,
HAVERSTRAW-OSSINING-WEEKDAY-01,5:53:00,5:53:00,HAVERSTRAW,1,,0,,
BEACON-NEWBURGH-WEEKDAY-01,5:59:00,5:59:00,NEWBURGH,2,,0,,
HOBOKEN14-MIDTOWN-WEEKDAY-01,6:00:00,6:00:00,HOBOKEN14STATION,1,,0,,
HOBOKENNJTT-WFC-WEEKDAY-01,6:00:00,6:00:00,HOBOKENNJTTSTATION,1,,0,,
IMPERIAL-MIDTOWN-FRIDAYSATURDAY-01,24:28:00,24:28:00,MIDTOWN,2,,0,,
IMPERIAL-WFC-WEEKDAY-01,6:00:00,6:00:00,IMPERIAL,1,,0,,
IMPERIAL-PIER11-WEEKDAY-01,6:00:00,6:00:00,IMPERIAL,1,,0,,
LIBERTY-PIER11-WEEKDAY-01,6:00:00,6:00:00,LIBERTYHARBOR,1,,0,,
PAULUS-WFC-WEEKDAY-01,6:00:00,6:00:00,PAULUS,1,,0,,
LIBERTE-PIER11-WEEKDAY-01,6:00:00,6:00:00,PORTLIBERTE,1,,0,,
HAVERSTRAW-OSSINING-WEEKDAY-01,6:04:00,6:04:00,OSSINING,2,,0,,
HOBOKENNJTT-PIER11-WEEKDAY-01,6:05:00,6:05:00,HOBOKENNJTTSTATION,1,,0,,
OSSINING-HAVERSTRAW-WEEKDAY-01,06:10:00,06:10:00,OSSINING,1,,0,,
WFC-PAULUS-WEEKDAY-01,6:06:00,6:06:00,WFC,1,,0,,
PAULUS-PIER11-WEEKDAY-01,6:07:00,6:07:00,PAULUS,1,,0,,
PAULUS-WFC-WEEKDAY-01,6:07:00,6:07:00,WFC,2,,0,,
HOBOKEN14-WFC-WEEKDAY-01,6:08:00,6:08:00,HOBOKEN14STATION,1,,0,,
HOBOKEN14-MIDTOWN-WEEKDAY-01,6:08:00,6:08:00,MIDTOWN,2,,0,,
IMPERIAL-MIDTOWN-FRIDAYSATURDAY-02,24:40:00,24:40:00,IMPERIAL,1,,0,,
MIDTOWN-HOBOKEN14-WEEKDAY-01,6:10:00,6:10:00,MIDTOWN,1,,0,,
IMPERIAL-MIDTOWN-FRIDAYSATURDAY-02,24:48:00,24:48:00,MIDTOWN,2,,0,,
WFC-HOBOKENNJTT-WEEKDAY-01,6:10:00,6:10:00,WFC,1,,0,,
HOBOKENNJTT-WFC-WEEKDAY-01,6:10:00,6:10:00,WFC,2,,0,,
LIBERTY-PIER11-WEEKDAY-01,6:10:00,6:10:00,PIER11,2,,0,,
PAULUS-WFC-WEEKDAY-02,6:12:00,6:12:00,PAULUS,1,,0,,
WFC-PAULUS-WEEKDAY-01,6:13:00,6:13:00,PAULUS,2,,0,,
EDGEWATER-MIDTOWN-WEEKDAY-01,6:15:00,6:15:00,EDGEWATER,1,,0,,
LIBERTY-PIER11-WEEKDAY-02,6:15:00,6:15:00,LIBERTYHARBOR,1,,0,,
